Station Name,Venue Name,Distance,Primary Category
Alterlaa U6,Szihnbrot Alterlaa,48,Bakery
Alterlaa U6,88Noodles,53,Asian Restaurant
Alterlaa U6,Alaturka,56,Turkish Restaurant
Alterlaa U6,Asia Restaurant Kama & Co,134,Chinese Restaurant
Alterlaa U6,Bäckerei Mann,141,Breakfast Spot
Alterlaa U6,Dragon town,180,Chinese Restaurant
Alterlaa U6,Pizza Plus,181,Pizzeria
Alterlaa U6,Interspar Restaurant,200,Dining and Drinking
Alterlaa U6,Anker Brot Kaufpark,218,Bakery
Alterlaa U6,Asia Restaurant Kama & Co,221,Asian Restaurant
Handelskai S U,Anker,21,Bakery
Handelskai S U,Canteen,23,Dining and Drinking
Handelskai S U,McDonald's,33,Burger Joint
Handelskai S U,Yiu Vegetarische Spezialitäten,122,Vegan and Vegetarian Restaurant
Handelskai S U,Cafe Amigo,160,Café
Handelskai S U,Burgerista,177,Burger Joint
Handelskai S U,Segafredo,184,Café
Handelskai S U,Subway,185,Deli
Handelskai S U,Geflügel Fisch Imbiss,185,BBQ Joint
Handelskai S U,Food Court,186,Food Court
Schwarzenbergplatz,Apron,82,Dining and Drinking
Schwarzenbergplatz,Casa Alberto,119,Italian Restaurant
Schwarzenbergplatz,Cafe PACASSI am Belvedere,146,Café
Schwarzenbergplatz,Tarim Uyghur Restaurant,166,Asian Restaurant
Schwarzenbergplatz,Kantine im Akademietheater,167,Gastropub
Schwarzenbergplatz,Zhany Asia Restaurant,192,Asian Restaurant
Schwarzenbergplatz,Imbisstreff in der City,198,Dining and Drinking
Schwarzenbergplatz,RCM - Raiffeisen Capital Management,200,Financial Planner
Schwarzenbergplatz,Falco's,217,Austrian Restaurant
Schwarzenbergplatz,ARCO essen & mehr,218,Dining and Drinking
Richard-Wagner-Platz,OSES Çiğ Köfte,33,Deli
Richard-Wagner-Platz,Pizzeria Da Filippo,53,Pizzeria
Richard-Wagner-Platz,Kebab Haus Thalia,85,Dining and Drinking
Richard-Wagner-Platz,Mersin Tantuni,156,Turkish Restaurant
Richard-Wagner-Platz,Künefeci,158,Dining and Drinking
Richard-Wagner-Platz,Laziza Restaurant,161,Middle Eastern Restaurant
Richard-Wagner-Platz,Café Fluid,190,Café
Richard-Wagner-Platz,Mr.Feng,203,Asian Restaurant
Richard-Wagner-Platz,Sandwich & Bolani Haus,213,Afghan Restaurant
Richard-Wagner-Platz,Fashion Cafe - Segafredo,214,Bar
Brünner Straße S,WS Restaurant,89,Asian Restaurant
Brünner Straße S,Pragersaloon,227,Turkish Restaurant
Brünner Straße S,Segafredo,323,Café
Brünner Straße S,Trezesniewski,333,Fast Food Restaurant
Brünner Straße S,Scala,348,Café
Brünner Straße S,Bierwerkstatt,361,Bar
Brünner Straße S,Trünkel,364,Dining and Drinking
Brünner Straße S,Raab Catering E.U.,368,Dining and Drinking
Brünner Straße S,Trześniewski,371,Snack Place
Brünner Straße S,Tchibo GmbH,383,Café
Wallensteinplatz,HELLgas Kochstudio,22,Fried Chicken Joint
Wallensteinplatz,Alora,28,Italian Restaurant
Wallensteinplatz,Vindobona Café,42,Music Venue
Wallensteinplatz,Osteria Allora,42,Trattoria
Wallensteinplatz,Anatolia,48,Donut Shop
Wallensteinplatz,Fu-du,62,Chinese Restaurant
Wallensteinplatz,Siri's Thai Haus,76,Asian Restaurant
Wallensteinplatz,Saphire Restaurant,100,Mediterranean Restaurant
Wallensteinplatz,Hacienda Ephemer,100,Mexican Restaurant
Wallensteinplatz,Burger Brothers,105,Burger Joint
Rennweg S,Hühnerparadies Tufan,11,Buffet
Rennweg S,Zum kleinen Sacher,19,BBQ Joint
Rennweg S,Noodles & More,22,Asian Restaurant
Rennweg S,Ströck,33,Bakery
Rennweg S,Anker,34,Bakery
Rennweg S,Fasanl-Wirt,37,Dining and Drinking
Rennweg S,Chilai Landstrasse,62,Bar
Rennweg S,Pizzeria Amigo,63,Pizzeria
Rennweg S,"Wien, Cafe Central 1876",68,Bakery
Rennweg S,Noodle King,70,Asian Restaurant
Niederhofstraße U6,Pizza/Kebap Lales 1,51,Pizzeria
Niederhofstraße U6,Backwerk,71,Bakery
Niederhofstraße U6,Pizzeria Quick,79,Pizzeria
Niederhofstraße U6,BackWerk,93,Bakery
